"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","C4A (pp) CFB","false","pp","C4A (pp) CFB","0.31",,"0.9","0.063",,,"0.976","0.677"
"pp","RPL37A (pp) RPS10","false","pp","RPL37A (pp) RPS10","0.907",,"0.9","0.991",,,"0.999","0.437"
"pp","RPL37A (pp) RPS5","false","pp","RPL37A (pp) RPS5","0.952",,"0.9","0.991",,,"0.999","0.356"
"pp","RPL37A (pp) RPS19","false","pp","RPL37A (pp) RPS19","0.972",,"0.9","0.992",,,"0.999","0.502"
"pp","RPL37A (pp) RPL27","false","pp","RPL37A (pp) RPL27","0.984",,"0.9","0.992",,,"0.999","0.48"
"pp","RPL37A (pp) RPL26","false","pp","RPL37A (pp) RPL26","0.933","0.302","0.9","0.992",,,"0.999","0.411"
"pp","RPL37A (pp) RPL28","false","pp","RPL37A (pp) RPL28","0.964",,"0.9","0.803",,,"0.999","0.507"
"pp","RPL37A (pp) RPLP0","false","pp","RPL37A (pp) RPLP0","0.975",,"0.9","0.985",,,"0.999","0.429"
"pp","RPL37A (pp) RPL30","false","pp","RPL37A (pp) RPL30","0.979","0.33","0.9","0.992",,,"0.999","0.597"
"pp","RPL37A (pp) RPL35A","false","pp","RPL37A (pp) RPL35A","0.988",,"0.9","0.96",,,"0.999","0.747"
"pp","FGB (pp) CFB","false","pp","FGB (pp) CFB","0.223",,,"0.157",,,"0.474","0.261"
"pp","FGB (pp) FGG","false","pp","FGB (pp) FGG","0.992",,"0.9","0.962",,,"0.999","0.217"
"pp","FGB (pp) F2","false","pp","FGB (pp) F2","0.615",,"0.9","0.845",,,"0.997","0.662"
"pp","FGB (pp) FGA","false","pp","FGB (pp) FGA","0.992",,"0.9","0.961",,,"0.999","0.275"
"pp","FGG (pp) CFB","false","pp","FGG (pp) CFB","0.23",,,"0.157",,,"0.526","0.328"
"pp","FGG (pp) C4A","false","pp","FGG (pp) C4A","0.162",,"0.9",,,,"0.936","0.308"
"pp","RPS5 (pp) RPS10","false","pp","RPS5 (pp) RPS10","0.996",,"0.9","0.988",,,"0.999","0.914"
"pp","ADAM17 (pp) PRKCA","false","pp","ADAM17 (pp) PRKCA",,,"0.9",,,,"0.904","0.083"
"pp","PRKCA (pp) IKBKG","false","pp","PRKCA (pp) IKBKG",,,"0.9",,,,"0.903","0.073"
"pp","RPLP0 (pp) RPS10","false","pp","RPLP0 (pp) RPS10","0.994",,"0.9","0.989",,,"0.999","0.325"
"pp","RPLP0 (pp) RPS5","false","pp","RPLP0 (pp) RPS5","0.997",,"0.9","0.992",,"0.167","0.999","0.472"
"pp","RPLP0 (pp) RPS19","false","pp","RPLP0 (pp) RPS19","0.995",,"0.9","0.986",,"0.217","0.999","0.321"
"pp","RPLP0 (pp) RPL27","false","pp","RPLP0 (pp) RPL27","0.997",,"0.9","0.986",,,"0.999","0.223"
"pp","RPLP0 (pp) RPL26","false","pp","RPLP0 (pp) RPL26","0.994",,"0.9","0.985",,"0.135","0.999","0.413"
"pp","RPLP0 (pp) RPL28","false","pp","RPLP0 (pp) RPL28","0.991",,"0.9","0.954",,,"0.999","0.285"
"pp","RPL12 (pp) RPS10","false","pp","RPL12 (pp) RPS10","0.996",,"0.9","0.991",,,"0.999","0.716"
"pp","RPL12 (pp) RPS5","false","pp","RPL12 (pp) RPS5","0.997",,"0.9","0.991",,"0.167","0.999","0.638"
"pp","RPL12 (pp) RPS19","false","pp","RPL12 (pp) RPS19","0.994",,"0.9","0.992",,"0.218","0.999","0.447"
"pp","RPL12 (pp) RPL27","false","pp","RPL12 (pp) RPL27","0.997",,"0.9","0.992",,,"0.999","0.542"
"pp","RPL12 (pp) RPL26","false","pp","RPL12 (pp) RPL26","0.994",,"0.9","0.96",,"0.135","0.999","0.665"
"pp","RPL12 (pp) RPL28","false","pp","RPL12 (pp) RPL28","0.991",,"0.9","0.799",,,"0.999","0.625"
"pp","RPL12 (pp) RPLP0","false","pp","RPL12 (pp) RPLP0","0.997",,"0.9","0.985",,"0.167","0.999","0.571"
"pp","RPL12 (pp) RPL30","false","pp","RPL12 (pp) RPL30","0.996",,"0.9","0.992",,,"0.999","0.785"
"pp","RPL12 (pp) RPL35A","false","pp","RPL12 (pp) RPL35A","0.997",,"0.9","0.992",,,"0.999","0.666"
"pp","RPL12 (pp) RPL37A","false","pp","RPL12 (pp) RPL37A","0.961",,"0.9","0.992",,,"0.999","0.63"
"pp","RPL12 (pp) RPL36A","false","pp","RPL12 (pp) RPL36A","0.78",,"0.9","0.956",,,"0.999","0.675"
"pp","RPL12 (pp) RPL9","false","pp","RPL12 (pp) RPL9","0.995",,"0.9","0.99",,"0.219","0.999","0.725"
"pp","RPL12 (pp) RPL17","false","pp","RPL12 (pp) RPL17","0.982",,"0.9","0.988",,"0.111","0.999","0.173"
"pp","RPL12 (pp) RPS18","false","pp","RPL12 (pp) RPS18","0.993",,"0.9","0.992",,"0.219","0.999","0.492"
"pp","RPL12 (pp) RPL31","false","pp","RPL12 (pp) RPL31","0.992",,"0.9","0.963",,"0.219","0.999","0.769"
"pp","RPL12 (pp) RPL14","false","pp","RPL12 (pp) RPL14","0.991",,"0.9","0.991",,,"0.999","0.666"
"pp","RPL12 (pp) RPL24","false","pp","RPL12 (pp) RPL24","0.989",,"0.9","0.992",,,"0.999","0.627"
"pp","RPL12 (pp) RPS6","false","pp","RPL12 (pp) RPS6","0.996",,"0.9","0.992",,,"0.999","0.728"
"pp","RPL12 (pp) ISG15","false","pp","RPL12 (pp) ISG15","0.174",,,"0.408",,,"0.507","0.072"
"pp","RPL12 (pp) RPL11","false","pp","RPL12 (pp) RPL11","0.996",,"0.9","0.992",,"0.219","0.999","0.813"
"pp","RPL12 (pp) RPL10A","false","pp","RPL12 (pp) RPL10A","0.997",,"0.9","0.992",,"0.167","0.999","0.737"
"pp","RPL12 (pp) RPS4X","false","pp","RPL12 (pp) RPS4X","0.997",,"0.9","0.991",,,"0.999","0.675"
"pp","RPL12 (pp) RPL7A","false","pp","RPL12 (pp) RPL7A","0.994",,"0.9","0.991",,"0.052","0.999","0.807"
"pp","RPL36A (pp) RPS10","false","pp","RPL36A (pp) RPS10","0.603",,"0.9","0.944",,,"0.998","0.393"
"pp","RPL36A (pp) RPS5","false","pp","RPL36A (pp) RPS5","0.725",,"0.9","0.956",,,"0.999","0.424"
"pp","RPL36A (pp) RPS19","false","pp","RPL36A (pp) RPS19","0.805",,"0.9","0.956",,"0.155","0.999","0.54"
"pp","RPL36A (pp) RPL27","false","pp","RPL36A (pp) RPL27","0.828",,"0.9","0.956",,,"0.999","0.415"
"pp","RPL36A (pp) RPL26","false","pp","RPL36A (pp) RPL26","0.738",,"0.9","0.956",,,"0.999","0.576"
"pp","RPL36A (pp) RPL28","false","pp","RPL36A (pp) RPL28","0.724",,"0.9","0.734",,,"0.996","0.6"
"pp","RPL36A (pp) RPLP0","false","pp","RPL36A (pp) RPLP0","0.739",,"0.9","0.956",,,"0.999","0.352"
"pp","RPL36A (pp) RPL30","false","pp","RPL36A (pp) RPL30","0.827",,"0.9","0.956",,,"0.999","0.819"
"pp","RPL36A (pp) RPL35A","false","pp","RPL36A (pp) RPL35A","0.828",,"0.9","0.956",,,"0.999","0.789"
"pp","RPL36A (pp) RPL37A","false","pp","RPL36A (pp) RPL37A","0.859",,"0.9","0.956",,,"0.999","0.568"
"pp","MAVS (pp) IKBKG","false","pp","MAVS (pp) IKBKG",,,"0.9","0.526",,,"0.986","0.745"
"pp","RPS11 (pp) RPS10","false","pp","RPS11 (pp) RPS10","0.998",,"0.9","0.991",,,"0.999","0.753"
"pp","RPS11 (pp) RPS5","false","pp","RPS11 (pp) RPS5","0.999",,"0.9","0.99",,"0.219","0.999","0.715"
"pp","RPS11 (pp) RPS19","false","pp","RPS11 (pp) RPS19","0.999",,"0.9","0.998",,,"0.999","0.705"
"pp","RPS11 (pp) RPL27","false","pp","RPS11 (pp) RPL27","0.996",,"0.9","0.992",,"0.185","0.999","0.645"
"pp","RPS11 (pp) RPL26","false","pp","RPS11 (pp) RPL26","0.996","0.246","0.9","0.992",,"0.185","0.999","0.444"
"pp","RPS11 (pp) RPL28","false","pp","RPS11 (pp) RPL28","0.993",,"0.9","0.953",,,"0.999","0.549"
"pp","RPS11 (pp) RPLP0","false","pp","RPS11 (pp) RPLP0","0.996",,"0.9","0.99",,"0.219","0.999","0.434"
"pp","RPS11 (pp) RPL30","false","pp","RPS11 (pp) RPL30","0.993",,"0.9","0.992",,,"0.999","0.852"
"pp","RPS11 (pp) RPL35A","false","pp","RPS11 (pp) RPL35A","0.997",,"0.9","0.992",,,"0.999","0.755"
"pp","RPS11 (pp) RPL37A","false","pp","RPS11 (pp) RPL37A","0.972",,"0.9","0.992",,,"0.999","0.547"
"pp","RPS11 (pp) RPL36A","false","pp","RPS11 (pp) RPL36A","0.749",,"0.9","0.956",,,"0.999","0.805"
"pp","RPS11 (pp) RPL9","false","pp","RPS11 (pp) RPL9","0.997","0.248","0.9","0.991",,"0.295","0.999","0.641"
"pp","RPS11 (pp) RPL17","false","pp","RPS11 (pp) RPL17","0.999",,"0.9","0.989",,"0.167","0.999","0.222"
"pp","RPS11 (pp) RPS18","false","pp","RPS11 (pp) RPS18","0.999",,"0.9","0.992",,"0.295","0.999","0.73"
"pp","RPS11 (pp) RPL31","false","pp","RPS11 (pp) RPL31","0.993",,"0.9","0.963",,,"0.999","0.717"
"pp","RPS11 (pp) RPL14","false","pp","RPS11 (pp) RPL14","0.994",,"0.9","0.991",,"0.185","0.999","0.768"
"pp","RPS11 (pp) RPL24","false","pp","RPS11 (pp) RPL24","0.977",,"0.9","0.992",,,"0.999","0.696"
"pp","RPS11 (pp) RPS6","false","pp","RPS11 (pp) RPS6","0.997",,"0.9","0.992",,,"0.999","0.723"
"pp","RPS11 (pp) ISG15","false","pp","RPS11 (pp) ISG15","0.168",,,"0.583",,,"0.666","0.114"
"pp","RPS11 (pp) RPL11","false","pp","RPS11 (pp) RPL11","0.997",,"0.9","0.992",,"0.295","0.999","0.728"
"pp","RPS11 (pp) RPL10A","false","pp","RPS11 (pp) RPL10A","0.999",,"0.9","0.992",,"0.219","0.999","0.34"
"pp","RPS11 (pp) RPS4X","false","pp","RPS11 (pp) RPS4X","0.997","0.289","0.9","0.998",,"0.295","0.999","0.371"
"pp","RPS11 (pp) RPL7A","false","pp","RPS11 (pp) RPL7A","0.997",,"0.9","0.992",,"0.111","0.999","0.788"
"pp","RPS11 (pp) RPL12","false","pp","RPS11 (pp) RPL12","0.996",,"0.9","0.992",,"0.219","0.999","0.599"
"pp","RPS11 (pp) RPS3A","false","pp","RPS11 (pp) RPS3A","0.999",,"0.9","0.992",,,"0.999","0.676"
"pp","RPS11 (pp) RPL21","false","pp","RPS11 (pp) RPL21","0.999",,"0.9","0.992",,,"0.999","0.36"
"pp","RPS11 (pp) RPL27A","false","pp","RPS11 (pp) RPL27A","0.995",,"0.9","0.992",,"0.219","0.999","0.536"
"pp","RPS11 (pp) RPL3","false","pp","RPS11 (pp) RPL3","0.999",,"0.9","0.991",,"0.185","0.999","0.611"
"pp","RPS11 (pp) RPS15A","false","pp","RPS11 (pp) RPS15A","0.998","0.227","0.9","0.992",,"0.219","0.999","0.675"
"pp","RPS11 (pp) RPL13","false","pp","RPS11 (pp) RPL13","0.996",,"0.9","0.992",,,"0.999","0.527"
"pp","RPS11 (pp) RPS23","false","pp","RPS11 (pp) RPS23","0.993",,"0.9","0.992",,"0.219","0.999","0.497"
"pp","JUN (pp) IKBKG","false","pp","JUN (pp) IKBKG",,,,,,,"0.464","0.464"
"pp","JUN (pp) PRKCA","false","pp","JUN (pp) PRKCA",,,,,,,"0.513","0.513"
"pp","JUN (pp) RPS6","false","pp","JUN (pp) RPS6",,,,"0.108",,,"0.428","0.385"
"pp","RPL10A (pp) RPS10","false","pp","RPL10A (pp) RPS10","0.998",,"0.9","0.991",,,"0.999","0.58"
"pp","RPL10A (pp) RPS5","false","pp","RPL10A (pp) RPS5","0.997",,"0.9","0.99",,"0.167","0.999","0.715"
"pp","RPL10A (pp) RPS19","false","pp","RPL10A (pp) RPS19","0.999",,"0.9","0.992",,"0.219","0.999","0.701"
"pp","RPL10A (pp) RPL27","false","pp","RPL10A (pp) RPL27","0.996",,"0.9","0.992",,,"0.999","0.557"
"pp","RPL10A (pp) RPL26","false","pp","RPL10A (pp) RPL26","0.996",,"0.9","0.96",,"0.135","0.999","0.574"
"pp","RPL10A (pp) RPL28","false","pp","RPL10A (pp) RPL28","0.992",,"0.9","0.798",,,"0.999","0.355"
"pp","RPL10A (pp) RPLP0","false","pp","RPL10A (pp) RPLP0","0.996",,"0.9","0.991",,"0.167","0.999","0.621"
"pp","RPL10A (pp) RPL30","false","pp","RPL10A (pp) RPL30","0.983",,"0.9","0.992",,,"0.999","0.711"
"pp","RPL10A (pp) RPL35A","false","pp","RPL10A (pp) RPL35A","0.989",,"0.9","0.992",,,"0.999","0.318"
"pp","RPL10A (pp) RPL37A","false","pp","RPL10A (pp) RPL37A","0.97",,"0.9","0.992",,,"0.999","0.386"
"pp","RPL10A (pp) RPL36A","false","pp","RPL10A (pp) RPL36A","0.781",,"0.9","0.956",,,"0.999","0.639"
"pp","RPL10A (pp) RPL9","false","pp","RPL10A (pp) RPL9","0.996",,"0.9","0.992",,"0.219","0.999","0.672"
"pp","RPL10A (pp) RPL17","false","pp","RPL10A (pp) RPL17","0.998",,"0.9","0.991",,"0.111","0.999","0.325"
"pp","RPL10A (pp) RPS18","false","pp","RPL10A (pp) RPS18","0.999",,"0.9","0.992",,"0.219","0.999","0.325"
"pp","RPL10A (pp) RPL31","false","pp","RPL10A (pp) RPL31","0.991",,"0.9","0.962",,"0.219","0.999","0.701"
"pp","RPL10A (pp) RPL14","false","pp","RPL10A (pp) RPL14","0.982",,"0.9","0.991",,,"0.999","0.227"
"pp","RPL10A (pp) RPL24","false","pp","RPL10A (pp) RPL24","0.985",,"0.9","0.992",,,"0.999","0.609"
"pp","RPL10A (pp) RPS6","false","pp","RPL10A (pp) RPS6","0.998",,"0.9","0.992",,,"0.999","0.527"
"pp","RPL10A (pp) ISG15","false","pp","RPL10A (pp) ISG15","0.145",,,"0.574",,,"0.637","0.085"
"pp","RPL10A (pp) RPL11","false","pp","RPL10A (pp) RPL11","0.997",,"0.9","0.992",,"0.219","0.999","0.573"
"pp","RPS6 (pp) RPS10","false","pp","RPS6 (pp) RPS10","0.996",,"0.9","0.991",,,"0.999","0.707"
"pp","RPS6 (pp) RPS5","false","pp","RPS6 (pp) RPS5","0.996",,"0.9","0.991",,,"0.999","0.534"
"pp","RPS6 (pp) RPS19","false","pp","RPS6 (pp) RPS19","0.996",,"0.9","0.992",,,"0.999","0.813"
"pp","RPS6 (pp) RPL27","false","pp","RPS6 (pp) RPL27","0.996",,"0.9","0.992",,,"0.999","0.321"
"pp","RPS6 (pp) RPL26","false","pp","RPS6 (pp) RPL26","0.997",,"0.9","0.992",,,"0.999","0.711"
"pp","RPS6 (pp) RPL28","false","pp","RPS6 (pp) RPL28","0.992",,"0.9","0.958",,,"0.999","0.63"
"pp","RPS6 (pp) RPLP0","false","pp","RPS6 (pp) RPLP0","0.996",,"0.9","0.992",,,"0.999","0.517"
"pp","RPS6 (pp) RPL30","false","pp","RPS6 (pp) RPL30","0.99",,"0.9","0.992",,,"0.999","0.739"
"pp","RPS6 (pp) RPL35A","false","pp","RPS6 (pp) RPL35A","0.992",,"0.9","0.992",,,"0.999","0.55"
"pp","RPS6 (pp) RPL37A","false","pp","RPS6 (pp) RPL37A","0.956",,"0.9","0.992",,,"0.999","0.506"
"pp","RPS6 (pp) RPL36A","false","pp","RPS6 (pp) RPL36A","0.775",,"0.9","0.957",,,"0.999","0.572"
"pp","RPS6 (pp) RPL9","false","pp","RPS6 (pp) RPL9","0.997",,"0.9","0.992",,,"0.999","0.626"
"pp","RPS6 (pp) RPL17","false","pp","RPS6 (pp) RPL17","0.987",,"0.9","0.991",,,"0.999","0.24"
"pp","RPS6 (pp) RPS18","false","pp","RPS6 (pp) RPS18","0.997",,"0.9","0.992",,,"0.999","0.666"
"pp","RPS6 (pp) RPL31","false","pp","RPS6 (pp) RPL31","0.991",,"0.9","0.962",,,"0.999","0.661"
"pp","RPS6 (pp) RPL14","false","pp","RPS6 (pp) RPL14","0.988",,"0.9","0.991",,,"0.999","0.65"
"pp","RPS6 (pp) RPL24","false","pp","RPS6 (pp) RPL24","0.99",,"0.9","0.991",,"0.219","0.999","0.636"
"pp","JAK1 (pp) PRKCA","false","pp","JAK1 (pp) PRKCA",,,,"0.363",,,"0.417","0.122"
"pp","JAK1 (pp) MAVS","false","pp","JAK1 (pp) MAVS","0.057",,,,,,"0.428","0.419"
"pp","JAK1 (pp) IL6ST","false","pp","JAK1 (pp) IL6ST","0.09",,"0.9","0.421",,,"0.973","0.556"
"pp","JAK1 (pp) ISG15","false","pp","JAK1 (pp) ISG15",,,"0.9","0.088",,,"0.956","0.565"
"pp","JAK1 (pp) JUN","false","pp","JAK1 (pp) JUN","0.062",,,"0.079",,,"0.53","0.499"
"pp","RPL3 (pp) RPS10","false","pp","RPL3 (pp) RPS10","0.993",,"0.9","0.989",,,"0.999","0.611"
"pp","RPL3 (pp) RPS5","false","pp","RPL3 (pp) RPS5","0.996",,"0.9","0.978",,"0.135","0.999","0.672"
"pp","RPL3 (pp) RPS19","false","pp","RPL3 (pp) RPS19","0.998",,"0.9","0.991",,,"0.999","0.728"
"pp","RPL3 (pp) RPL27","false","pp","RPL3 (pp) RPL27","0.992",,"0.9","0.989",,"0.11","0.999","0.413"
"pp","RPL3 (pp) RPL26","false","pp","RPL3 (pp) RPL26","0.994","0.294","0.9","0.989",,"0.11","0.999","0.7"
"pp","RPL3 (pp) RPL28","false","pp","RPL3 (pp) RPL28","0.988",,"0.9","0.947",,,"0.999","0.636"
"pp","RPL3 (pp) RPLP0","false","pp","RPL3 (pp) RPLP0","0.995",,"0.9","0.986",,"0.135","0.999","0.512"
"pp","RPL3 (pp) RPL30","false","pp","RPL3 (pp) RPL30","0.991",,"0.9","0.989",,,"0.999","0.767"
"pp","RPL3 (pp) RPL35A","false","pp","RPL3 (pp) RPL35A","0.991",,"0.9","0.991",,,"0.999","0.434"
"pp","RPL3 (pp) RPL37A","false","pp","RPL3 (pp) RPL37A","0.924",,"0.9","0.991",,,"0.999","0.288"
"pp","RPL3 (pp) RPL36A","false","pp","RPL3 (pp) RPL36A","0.567",,"0.9","0.949",,,"0.998","0.479"
"pp","RPL3 (pp) RPL9","false","pp","RPL3 (pp) RPL9","0.997","0.354","0.9","0.987",,"0.185","0.999","0.735"
"pp","RPL3 (pp) RPL17","false","pp","RPL3 (pp) RPL17","0.999",,"0.9","0.989",,"0.081","0.999","0.157"
"pp","RPL3 (pp) RPS18","false","pp","RPL3 (pp) RPS18","0.999",,"0.9","0.991",,"0.185","0.999","0.585"
"pp","RPL3 (pp) RPL31","false","pp","RPL3 (pp) RPL31","0.987",,"0.9","0.952",,,"0.999","0.533"
"pp","RPL3 (pp) RPL14","false","pp","RPL3 (pp) RPL14","0.989",,"0.9","0.989",,"0.11","0.999","0.733"
"pp","RPL3 (pp) RPL24","false","pp","RPL3 (pp) RPL24","0.977",,"0.9","0.99",,,"0.999","0.604"
"pp","RPL3 (pp) RPS6","false","pp","RPL3 (pp) RPS6","0.997",,"0.9","0.989",,,"0.999","0.659"
"pp","RPL3 (pp) RPL11","false","pp","RPL3 (pp) RPL11","0.995",,"0.9","0.991",,"0.185","0.999","0.667"
"pp","RPL3 (pp) RPL10A","false","pp","RPL3 (pp) RPL10A","0.999",,"0.9","0.989",,"0.135","0.999","0.695"
"pp","RPL3 (pp) RPS4X","false","pp","RPL3 (pp) RPS4X","0.998","0.374","0.9","0.99",,"0.185","0.999","0.483"
"pp","RPL3 (pp) RPL7A","false","pp","RPL3 (pp) RPL7A","0.997",,"0.9","0.989",,"0.073","0.999","0.688"
"pp","RPL3 (pp) RPL12","false","pp","RPL3 (pp) RPL12","0.993",,"0.9","0.989",,"0.135","0.999","0.823"
"pp","RPL3 (pp) RPS3A","false","pp","RPL3 (pp) RPS3A","0.999","0.232","0.9","0.991",,,"0.999","0.407"
"pp","RPL3 (pp) RPL21","false","pp","RPL3 (pp) RPL21","0.999",,"0.9","0.99",,,"0.999","0.395"
"pp","RPL3 (pp) RPL27A","false","pp","RPL3 (pp) RPL27A","0.988","0.201","0.9","0.989",,"0.135","0.999","0.556"
"pp","RPL7A (pp) RPS10","false","pp","RPL7A (pp) RPS10","0.994",,"0.9","0.991",,,"0.999","0.206"
"pp","RPL7A (pp) RPS5","false","pp","RPL7A (pp) RPS5","0.995",,"0.9","0.991",,"0.078","0.999","0.369"
"pp","RPL7A (pp) RPS19","false","pp","RPL7A (pp) RPS19","0.995",,"0.9","0.992",,,"0.999","0.806"
"pp","RPL7A (pp) RPL27","false","pp","RPL7A (pp) RPL27","0.993",,"0.9","0.992",,"0.051","0.999","0.395"
"pp","RPL7A (pp) RPL26","false","pp","RPL7A (pp) RPL26","0.994",,"0.9","0.992",,"0.071","0.999","0.62"
"pp","RPL7A (pp) RPL28","false","pp","RPL7A (pp) RPL28","0.992",,"0.9","0.829",,,"0.999","0.422"
"pp","RPL7A (pp) RPLP0","false","pp","RPL7A (pp) RPLP0","0.997",,"0.9","0.992",,"0.076","0.999","0.563"
"pp","RPL7A (pp) RPL30","false","pp","RPL7A (pp) RPL30","0.991",,"0.9","0.991",,,"0.999","0.817"
"pp","RPL7A (pp) RPL35A","false","pp","RPL7A (pp) RPL35A","0.992",,"0.9","0.992",,,"0.999","0.711"
"pp","RPL7A (pp) RPL37A","false","pp","RPL7A (pp) RPL37A","0.969",,"0.9","0.992",,,"0.999","0.702"
"pp","RPL7A (pp) RPL36A","false","pp","RPL7A (pp) RPL36A","0.739",,"0.9","0.956",,,"0.999","0.771"
"pp","RPL7A (pp) RPL9","false","pp","RPL7A (pp) RPL9","0.996",,"0.9","0.992",,"0.074","0.999","0.395"
"pp","RPL7A (pp) RPL17","false","pp","RPL7A (pp) RPL17","0.984",,"0.9","0.989",,"0.07","0.999","0.225"
"pp","RPL7A (pp) RPS18","false","pp","RPL7A (pp) RPS18","0.997",,"0.9","0.992",,"0.115","0.999","0.271"
"pp","RPL7A (pp) RPL31","false","pp","RPL7A (pp) RPL31","0.995",,"0.9","0.962",,,"0.999","0.543"
"pp","RPL7A (pp) RPL14","false","pp","RPL7A (pp) RPL14","0.995",,"0.9","0.991",,"0.051","0.999","0.496"
"pp","RPL7A (pp) RPL24","false","pp","RPL7A (pp) RPL24","0.974",,"0.9","0.991",,"0.078","0.999","0.576"
"pp","RPL7A (pp) RPS6","false","pp","RPL7A (pp) RPS6","0.995",,"0.9","0.991",,"0.116","0.999","0.651"
"pp","RPL7A (pp) RPL11","false","pp","RPL7A (pp) RPL11","0.993",,"0.9","0.992",,"0.11","0.999","0.518"
"pp","RPL7A (pp) RPL10A","false","pp","RPL7A (pp) RPL10A","0.996",,"0.9","0.992",,"0.059","0.999","0.738"
"pp","RPL7A (pp) RPS4X","false","pp","RPL7A (pp) RPS4X","0.997",,"0.9","0.992",,,"0.999","0.593"
"pp","C2 (pp) CFB","false","pp","C2 (pp) CFB","0.172",,"0.9",,,,"0.921","0.123"
"pp","C2 (pp) C4A","false","pp","C2 (pp) C4A","0.092",,"0.9","0.063",,,"0.963","0.621"
"pp","RPL26 (pp) RPS10","false","pp","RPL26 (pp) RPS10","0.991",,"0.9","0.958",,,"0.999","0.796"
"pp","RPL26 (pp) RPS5","false","pp","RPL26 (pp) RPS5","0.99",,"0.9","0.981",,"0.135","0.999","0.334"
"pp","RPL26 (pp) RPS19","false","pp","RPL26 (pp) RPS19","0.992",,"0.9","0.992",,,"0.999","0.823"
"pp","RPL26 (pp) RPL27","false","pp","RPL26 (pp) RPL27","0.997",,"0.9","0.992",,"0.11","0.999","0.741"
"pp","RPL18A (pp) RPS10","false","pp","RPL18A (pp) RPS10","0.996",,"0.9","0.992",,,"0.999","0.517"
"pp","RPL18A (pp) RPS5","false","pp","RPL18A (pp) RPS5","0.997",,"0.9","0.99",,,"0.999","0.128"
"pp","RPL18A (pp) RPS19","false","pp","RPL18A (pp) RPS19","0.996",,"0.9","0.992",,"0.295","0.999","0.437"
"pp","RPL18A (pp) RPL27","false","pp","RPL18A (pp) RPL27","0.995",,"0.9","0.992",,,"0.999","0.429"
"pp","RPL18A (pp) RPL26","false","pp","RPL18A (pp) RPL26","0.991",,"0.9","0.96",,,"0.999","0.346"
"pp","RPL18A (pp) RPL28","false","pp","RPL18A (pp) RPL28","0.995",,"0.9","0.812",,,"0.999","0.429"
"pp","RPL18A (pp) RPLP0","false","pp","RPL18A (pp) RPLP0","0.995",,"0.9","0.99",,"0.219","0.999","0.238"
"pp","RPL18A (pp) RPL30","false","pp","RPL18A (pp) RPL30","0.993",,"0.9","0.992",,,"0.999","0.579"
"pp","RPL18A (pp) RPL35A","false","pp","RPL18A (pp) RPL35A","0.993",,"0.9","0.989",,,"0.999","0.739"
"pp","RPL18A (pp) RPL37A","false","pp","RPL18A (pp) RPL37A","0.964",,"0.9","0.992",,"0.254","0.999","0.771"
"pp","RPL18A (pp) RPL36A","false","pp","RPL18A (pp) RPL36A","0.749",,"0.9","0.956",,,"0.999","0.55"
"pp","RPL18A (pp) RPL9","false","pp","RPL18A (pp) RPL9","0.997",,"0.9","0.991",,,"0.999","0.694"
"pp","RPL18A (pp) RPL17","false","pp","RPL18A (pp) RPL17","0.993",,"0.9","0.989",,,"0.999","0.244"
"pp","RPL18A (pp) RPS18","false","pp","RPL18A (pp) RPS18","0.999",,"0.9","0.992",,,"0.999","0.294"
"pp","RPL18A (pp) RPL31","false","pp","RPL18A (pp) RPL31","0.993",,"0.9","0.963",,"0.295","0.999","0.71"
"pp","RPL18A (pp) RPL14","false","pp","RPL18A (pp) RPL14","0.993",,"0.9","0.992",,,"0.999","0.704"
